wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;kamiennogórski;gm.w. Kamienna Góra;8997;3612;2125;23,6;:;0;119;805;1319;824;545;dolnoœl¹skie;kamiennogórski;gm.w. Kamienna Góra;2;7;2;2;Kamienna Góra;gmina wiejska;43831;DOLNOŒL¥SKIE;kamiennogórski;gm.w. Kamienna Góra;020702
dolnoœl¹skie;kamiennogórski;gm.m-w. Lubawka;10759;4475;2532;23,5;:;0;118;879;1422;1078;978;dolnoœl¹skie;kamiennogórski;gm.m-w. Lubawka;2;7;3;3;Lubawka;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;kamiennogórski;gm.m-w. Lubawka;020703
dolnoœl¹skie;kamiennogórski;gm.w. Marciszów;4483;1576;1000;22,3;:;0;33;294;456;443;350;dolnoœl¹skie;kamiennogórski;gm.w. Marciszów;2;7;4;2;Marciszów;gmina wiejska;43831;DOLNOŒL¥SKIE;kamiennogórski;gm.w. Marciszów;020704
dolnoœl¹skie;k³odzki;m. Duszniki-Zdrój;4422;1734;1143;25,8;:;0;33;224;510;411;556;dolnoœl¹skie;k³odzki;m. Duszniki-Zdrój;2;8;1;1;Duszniki-Zdrój;gmina miejska;43831;DOLNOŒL¥SKIE;k³odzki;m. Duszniki-Zdrój;020801
dolnoœl¹skie;k³odzki;m. K³odzko;26421;11067;7445;28,2;:;0;261;1752;3338;2505;3211;dolnoœl¹skie;k³odzki;m. K³odzko;2;8;2;1;K³odzko;gmina miejska;43831;DOLNOŒL¥SKIE;k³odzki;m. K³odzko;020802
dolnoœl¹skie;k³odzki;m. Kudowa-Zdrój;9772;3734;2216;22,7;:;0;59;621;1135;841;1078;dolnoœl¹skie;k³odzki;m. Kudowa-Zdrój;2;8;3;1;Kudowa-Zdrój;gmina miejska;43831;DOLNOŒL¥SKIE;k³odzki;m. Kudowa-Zdrój;020803
dolnoœl¹skie;k³odzki;m. Nowa Ruda;21643;8667;5148;23,8;:;0;192;1332;2462;2257;2424;dolnoœl¹skie;k³odzki;m. Nowa Ruda;2;8;4;1;Nowa Ruda;gmina miejska;43831;DOLNOŒL¥SKIE;k³odzki;m. Nowa Ruda;020804
dolnoœl¹skie;k³odzki;m. Polanica-Zdrój;6228;2772;1992;32;:;0;53;415;782;635;887;dolnoœl¹skie;k³odzki;m. Polanica-Zdrój;2;8;5;1;Polanica-Zdrój;gmina miejska;43831;DOLNOŒL¥SKIE;k³odzki;m. Polanica-Zdrój;020805
dolnoœl¹skie;k³odzki;gm.m-w. Bystrzyca K³odzka;18607;6423;4316;23,2;:;0;109;973;1786;1741;1814;dolnoœl¹skie;k³odzki;gm.m-w. Bystrzyca K³odzka;2;8;6;3;Bystrzyca K³odzka;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. Bystrzyca K³odzka;020806
dolnoœl¹skie;k³odzki;gm.w. K³odzko;16986;5782;3571;21;:;0;112;974;1932;1505;1259;dolnoœl¹skie;k³odzki;gm.w. K³odzko;2;8;7;2;K³odzko;gmina wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.w. K³odzko;020807
